,time since thermal runaway [s],temperature at heater face [C],temperature at south face [C],temperature at east face [C],temperature at west face [C],temperature at bottom face [C],average temperature [C],cell mass [kg]
0,-20,349.68976718320715,118.21280949523722,145.00416518042434,147.03841542851308,169.9899457636326,185.9870206102029,1.9169574623615995
1,-15,348.2707716266744,115.88389737816786,144.81292931412162,145.630721830543,171.37909042985586,185.19548211587258,1.8889179323634322
2,-10,346.8517760701417,113.5549852610985,144.6216934478189,145.19226698402773,172.76823509607917,184.59779137183318,1.8581243858754164
3,-5,345.4327805136089,111.22607314402914,144.43045758151618,145.19226698402773,174.15737976230247,184.08779159709687,1.8862380252151993
4,0,342.38172839949283,107.61549675169212,144.23922171521346,162.28165932899802,185.8460133723481,188.4728239135489,2.022880326191448
5,5,353.454819720175,107.01916656526156,153.34520886737414,185.87051515221984,213.4126862368982,202.62047930838577,2.7932686442343946
6,10,410.94792154540164,145.72943995708124,174.62180746546002,237.06527619930733,253.3639092158875,244.34567087662754,1.8088909280699583
7,15,485.5661710039015,180.84539129138585,218.82018574080342,269.22998161041573,349.1226729772699,300.7168805247553,1.3699518155730508
8,20,518.8609167938228,206.6535265923303,327.6921491549608,291.98677099586837,402.0512710059973,349.44892690859587,1.3634133331603584
9,25,545.9318963667083,248.07539911839515,466.6723107001856,374.6638791999666,440.0961086720332,415.0879188114578,1.3612140139553799
10,30,565.9855993755805,304.2182175182218,529.2470168374784,426.4397271358474,457.69225985185,456.71656414379567,1.3590146947504014
11,35,581.3822903916343,416.3619790449319,578.7157613542821,501.6585461537361,475.5825155304529,510.7402184950075,1.3568153755454229
12,40,589.5749162033651,476.92332885356507,672.5219352193396,540.6320143177966,497.3190269978217,555.3942443183776,1.3557697212436564
13,45,596.5207041795483,509.3968381625759,652.394659426939,521.486637013341,517.6106333620515,559.4818944288911,1.3557697212436564
14,50,604.2210750738753,525.8199146853781,581.2943326663009,531.9550423220946,532.567375960912,555.1715481417122,1.3557697212436564
15,55,612.1393243101043,523.2322651946274,572.8362930580371,551.8269235972865,547.3060940455549,561.468180041122,1.3557697212436564
16,60,618.4133877093315,498.7233163641749,654.3748183434157,560.153169199141,554.283747958443,577.1896879149012,1.3557697212436564
17,65,623.5456180480162,437.7456518690624,555.2745748216107,564.2787218668941,561.261401871331,548.4211936953828,1.3557697212436564
18,70,628.677848386701,410.192842928703,638.3362396686242,560.4022433034249,568.2390557842191,561.1696460143346,1.3557697212436564
19,75,634.0258013469761,392.59644114857997,616.0975125756628,547.5427585825917,571.1875471771705,552.2900121661962,1.3557697212436564
20,80,639.3810664383703,367.5905997091482,574.5213483952715,504.021354593181,573.4685632539662,531.7965864779874,1.3557697212436564
21,85,643.8039480091621,366.0380208957773,531.1537571000288,498.21120450115575,575.7495793307618,522.9913019673771,1.3557697212436564
22,90,647.1033046676949,366.9771285079042,520.5287403397509,544.807620042266,574.7568313114083,530.8347249738049,1.3557697212436564
23,95,650.4026613262278,369.7264904206886,544.9227657323955,561.8215555518028,573.4288272615798,540.0604600585389,1.3557697212436564
24,100,651.9147456400545,371.81613043727305,533.6003889316246,563.7129823235688,572.1008232117515,538.6290141088546,1.3557697212436564
25,105,653.0623091701195,373.7712177409595,447.8368085656267,559.0384327420237,570.7728191619232,520.8963174761304,1.3557697212436564
26,110,653.4477976087308,374.5448616381187,383.0546616658357,566.0768806841137,569.4448151120947,509.31380334177874,1.3557697212436564
27,115,652.1909008998911,371.7973544111786,329.5894553232253,542.5240337294903,568.2481645016509,492.86998177308726,1.3557697212436564
28,120,650.9340041910514,363.18379862262077,293.93434944151034,509.3579612949216,568.0648875749702,477.09500022501487,1.3557697212436564
29,125,649.766174925845,365.13888592630724,274.09727661111947,534.0733697031084,567.8816106482893,478.19146356293385,1.3557697212436564
30,130,648.8560694011197,366.4863974110772,260.32622291226636,534.4790899288539,567.6983337216086,475.5692226749851,1.3557697212436564
31,135,647.9459638763946,366.85293821180505,248.18084564778079,501.43037201031234,567.5150567949278,466.3850353082441,1.3557697212436564
32,140,646.8591012100487,367.21947901253293,243.4251140109984,469.48754156678757,567.331779868247,458.8646031337229,1.3557697212436564
33,145,643.9263919442154,369.9063666388427,238.66938237421607,463.4292119621831,566.5999506588379,456.5062607156591,1.3557697212436564
34,150,640.993682678382,373.32778247195955,233.91365073743373,469.2947871200334,565.785296305378,456.6630398626373,1.3557697212436564
35,155,638.0609734125487,372.1020710076218,228.94909057788217,466.8270569972888,564.9706419519182,454.18196678945185,1.3557697212436564
